ID Corso,Titolo Corso,Docente,Tipologia,Disciplina,Periodo,Giorno della settimana,Orario,Anno Scolastico destinatario,Indirizzo,Posti disponibili,Prerequisiti,Competenze in uscita,Descrizione
011,CiviCare - La rivoluzione dell'Educazione Civica attraverso il GDR,Gianandrea Piccinini,UDA - Moduli Curricolari Pomeridiani,EDUCAZIONE CIVICA,PENTAMESTRE,"LUNEDÌ
MERCOLEDÌ
GIOVEDÌ",,Tutti,Tutti,25,,"disciplina: Educazione Civica, competenza: Consapevolezza civica, pensiero critico, team building, nozioni relative al programma di Educazione Civica
","CiviCare rivoluziona l’educazione civica con un gioco di ruolo (GDR) che, in 8 ore, porta gli studenti a ricreare una società affrontando le tematiche del MIUR. Attraverso dibattiti e ruoli, sviluppano soft skills come pensiero critico e lavoro di squadra. Supportato da degli educatori e un’AI gestibile da un dispositivo apposito, il progetto modernizza l’apprendimento e punta a un’educazione più coinvolgente e innovativa."
012,Corso base di educazione finanziaria,Gianpaolo Riglietti,UDA - Moduli Curricolari Pomeridiani,EDUCAZIONE CIVICA,TRIMESTRE,"MARTEDÌ
MERCOLEDÌ
VENERDÌ",,"Terze
Quarte",Tutti,25,,"disciplina: Educazione Civica, competenza: sviluppare consapevolezza rispetto alle scelte economiche personali e collettive
disciplina: Educazione Civica, competenza: sviluppare comportamenti di consumo informato
disciplina: Educazione Civica, competenza: saper organizzare un budget personale
disciplina: Educazione Civica, competenza: saper rispettare le regole economiche (imposte, tributi) in vista del bene collettivo e della giustizia sociale
","Questo corso di educazione finanziaria introduce gli studenti a concetti chiave come reddito, risparmio, spesa, moneta, strumenti di pagamento e credito. Le lezioni alternano teoria e attività pratiche (giochi, simulazioni, esercizi), per sviluppare competenze utili nella vita quotidiana. L’obiettivo è favorire scelte economiche consapevoli e responsabili, formando cittadini attenti e informati."
013,Corso base di educazione finanziaria,Gianpaolo Riglietti,UDA - Moduli Curricolari Pomeridiani,EDUCAZIONE CIVICA,PENTAMESTRE,"MARTEDÌ
MERCOLEDÌ
VENERDÌ",,"Terze
Quarte",Tutti,25,,"disciplina: Educazione Civica, competenza: sviluppare consapevolezza rispetto alle scelte economiche personali e collettive
disciplina: Educazione Civica, competenza: sviluppare comportamenti di consumo informato
disciplina: Educazione Civica, competenza: saper organizzare un budget personale
disciplina: Educazione Civica, competenza: saper rispettare le regole economiche (imposte, tributi) in vista del bene collettivo e della giustizia sociale
","Questo corso di educazione finanziaria introduce gli studenti a concetti chiave come reddito, risparmio, spesa, moneta, strumenti di pagamento e credito. Le lezioni alternano teoria e attività pratiche (giochi, simulazioni, esercizi), per sviluppare competenze utili nella vita quotidiana. L’obiettivo è favorire scelte economiche consapevoli e responsabili, formando cittadini attenti e informati."
014,Teatro al Boccioni,Anna Torrillo,UDA - Moduli Curricolari Pomeridiani,"EDUCAZIONE CIVICA
ITALIANO
SCIENZE MOTORIE",TRIMESTRE,"MERCOLEDÌ
GIOVEDÌ",,Tutti,Tutti,25,,"disciplina: Educazione Civica, competenza: contribuire attivamente e positivamente al lavoro e alle interazioni all'interno di un gruppo, sia a scuola che nella vita sociale. Questo implica rispettare gli altri, seguire le regole, esprimere le proprie idee in modo costruttivo, collaborare e portare avanti i compiti assegnati con impegno e responsabilità
disciplina: ITALIANO, competenza: conoscenza della storia del teatro, dei suoi generi e delle sue convenzioni, ma anche la capacità di interpretare il linguaggio verbale e non verbale, le didascalie, e di immaginare la messa in scena
disciplina: SCIENZE MOTORIE, competenza: scoprire il corpo come strumento di espressione e comunicazione. Attraverso esercizi di movimento, improvvisazione e costruzione di personaggi, i partecipanti impareranno a trasmettere emozioni, idee e storie usando il linguaggio corporeo. Lavoreranno sulla consapevolezza fisica, sull'interazione con lo spazio e su tutti gli aspetti espressivi del corpo, verbali e non verbali, per sviluppare una comunicazione autentica.
","Il corso è aperto a tutte le studentesse e gli studenti interessati ad ampliare la loro conoscenza artistica e sviluppare, tramite le tecniche attoriali, la propria personalità e capacità di rapportarsi tra pari.
Il corso, tenuto da un regista di teatro selezionato, si svilupperà per 80 ore di lezione compreso l’eventuale spettacolo di fine anno. Il corso verrà attivato in orario pomeridiano con la stessa modalità dei laboratori di materie artistiche."
015,Teatro al Boccioni,Anna Torrillo,UDA - Moduli Curricolari Pomeridiani,"EDUCAZIONE CIVICA
ITALIANO
SCIENZE MOTORIE",PENTAMESTRE,"MERCOLEDÌ
GIOVEDÌ",,Tutti,Tutti,25,,"disciplina: Educazione Civica, competenza: contribuire attivamente e positivamente al lavoro e alle interazioni all'interno di un gruppo, sia a scuola che nella vita sociale. Questo implica rispettare gli altri, seguire le regole, esprimere le proprie idee in modo costruttivo, collaborare e portare avanti i compiti assegnati con impegno e responsabilità
disciplina: ITALIANO, competenza: conoscenza della storia del teatro, dei suoi generi e delle sue convenzioni, ma anche la capacità di interpretare il linguaggio verbale e non verbale, le didascalie, e di immaginare la messa in scena
disciplina: SCIENZE MOTORIE, competenza: scoprire il corpo come strumento di espressione e comunicazione. Attraverso esercizi di movimento, improvvisazione e costruzione di personaggi, i partecipanti impareranno a trasmettere emozioni, idee e storie usando il linguaggio corporeo. Lavoreranno sulla consapevolezza fisica, sull'interazione con lo spazio e su tutti gli aspetti espressivi del corpo, verbali e non verbali, per sviluppare una comunicazione autentica.
","Il corso è aperto a tutte le studentesse e gli studenti interessati ad ampliare la loro conoscenza artistica e sviluppare, tramite le tecniche attoriali, la propria personalità e capacità di rapportarsi tra pari.
Il corso, tenuto da un regista di teatro selezionato, si svilupperà per 80 ore di lezione compreso l’eventuale spettacolo di fine anno. Il corso verrà attivato in orario pomeridiano con la stessa modalità dei laboratori di materie artistiche."
016,Alla scoperta dell'acqua (in laboratorio...e non solo),Alessia Stasuzzo,UDA - Moduli Curricolari Pomeridiani,"EDUCAZIONE CIVICA
SCIENZE",TRIMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ
VENERDÌ",,"Seconde
Terze",Tutti,16,"
","disciplina: Educazione Civica, competenza: Essere consapevoli della propria impronta idrica 
disciplina: SCIENZE, competenza: Individuare qual è la soluzione più concentrata, a partire da due soluzioni a differente concentrazione
disciplina: SCIENZE, competenza: Predire le caratteristiche delle rocce delle falde acquifere, a partire dall'etichetta della bottiglia d'acqua
disciplina: SCIENZE, competenza: Costruire dei grafici che mostrino la concentrazione dei sali contenuti in acque provenienti da fonti diverse
","Perché gli insetti camminano sull'acqua? Due soluzioni acquose possono non mescolarsi? Perché le etichette delle acque in bottiglia sono tutte diverse? L'acqua si beve o... si mangia? A queste e altre domande si darà risposta in questo corso, durante il quale gli studenti saranno protagonisti, conducendo esperimenti in laboratorio, creando grafici mediante l'ausilio di supporti informatici e scoprendo, inoltre, come le proprietà dell'acqua siano fondamentali per la vita per come la conosciamo."
017,Alla scoperta dell'acqua (in laboratorio...e non solo),Alessia Stasuzzo,UDA - Moduli Curricolari Pomeridiani,"EDUCAZIONE CIVICA
SCIENZE",PENTAMESTRE,"LUNEDÌ
MARTEDÌ
MERCOLEDÌ
GIOVEDÌ
VENERDÌ",,"Seconde
Terze",Tutti,16,"
","disciplina: Educazione Civica, competenza: Essere consapevoli della propria impronta idrica 
disciplina: SCIENZE, competenza: Individuare qual è la soluzione più concentrata, a partire da due soluzioni a differente concentrazione
disciplina: SCIENZE, competenza: Predire le caratteristiche delle rocce delle falde acquifere, a partire dall'etichetta della bottiglia d'acqua
disciplina: SCIENZE, competenza: Costruire dei grafici che mostrino la concentrazione dei sali contenuti in acque provenienti da fonti diverse
","Perché gli insetti camminano sull'acqua? Due soluzioni acquose possono non mescolarsi? Perché le etichette delle acque in bottiglia sono tutte diverse? L'acqua si beve o... si mangia? A queste e altre domande si darà risposta in questo corso, durante il quale gli studenti saranno protagonisti, conducendo esperimenti in laboratorio, creando grafici mediante l'ausilio di supporti informatici e scoprendo, inoltre, come le proprietà dell'acqua siano fondamentali per la vita per come la conosciamo."
018,Questioni etiche della contemporaneità,Stefano Di Ludovico,UDA - Moduli Curricolari Pomeridiani,FILOSOFIA,TRIMESTRE,LUNEDÌ,,Triennio,Tutti,20,,"disciplina: FILOSOFIA, competenza: 1. Comprensione della specificità dell’indagine filosofica come orientamento critico verso conoscenze, idee e credenze. 2. Confrontare tra le differenti risposte e opinioni a uno stesso problema. 3. Riflettere criticamente in relazione alle tematiche e alle tematiche prese in considerazione. 4. Utilizzare gli strumenti logici e concettuali propri della filosofia per una considerazione critica del presente. 5. Essere consapevoli e responsabili in rapporto ai contesti sociali di riferimento.
","Il corso si propone di affrontare questioni etiche rilevanti poste dalla società contemporanea, quali l'aborto, l'eutanasia, i diritti degli animali e dell'ambiente, la bioetica, analizzando e riflettendo sui presupposti filosofici e culturali delle varie tesi oggi in campo."
019,Questioni etiche della contemporaneità,Stefano Di Ludovico,UDA - Moduli Curricolari Pomeridiani,FILOSOFIA,PENTAMESTRE,LUNEDÌ,,Triennio,Tutti,20,,"disciplina: FILOSOFIA, competenza: 1. Comprensione della specificità dell’indagine filosofica come orientamento critico verso conoscenze, idee e credenze. 2. Confrontare tra le differenti risposte e opinioni a uno stesso problema. 3. Riflettere criticamente in relazione alle tematiche e alle tematiche prese in considerazione. 4. Utilizzare gli strumenti logici e concettuali propri della filosofia per una considerazione critica del presente. 5. Essere consapevoli e responsabili in rapporto ai contesti sociali di riferimento.
","Il corso si propone di affrontare questioni etiche rilevanti poste dalla società contemporanea, quali l'aborto, l'eutanasia, i diritti degli animali e dell'ambiente, la bioetica, analizzando e riflettendo sui presupposti filosofici e culturali delle varie tesi oggi in campo."
020,Cineforum sui temi dell'inclusione/contrasto alle discriminazioni/affettività.,Sabrina Giani,UDA - Moduli Curricolari Pomeridiani,"FILOSOFIA
ITALIANO
MULTIMEDIALE
EDUCAZIONE CIVICA",PENTAMESTRE,"LUNEDÌ
MARTEDÌ
GIOVEDÌ",,Tutti,Tutti,25,,"disciplina: FILOSOFIA, competenza: Spirito critico
disciplina: ITALIANO, competenza: capacità di saper comunicare efficacemente in forma scritta e orale
disciplina: MULTIMEDIALE, competenza: Educazione all'immagine
disciplina: Educazione Civica, competenza: Comprendere il valore del'inclusione e agire secondo principi democratici e ispirati al contrasto di ogni forma di discriminazione
","Cineforum tematico: inclusione, affettività, contrasto a varie forme di discriminazione (su base genere, abilità, religione ecc)"
021,Il ruolo dell'artista contemporaneo tra arte e filosofia,Massimiliano Villani,UDA - Moduli Curricolari Pomeridiani,"FILOSOFIA
STORIA DELL'ARTE",TRIMESTRE,"LUNEDÌ
MARTEDÌ
GIOVEDÌ",,Triennio,Tutti,20,conoscenza di base del lessico filosofico e artistico,"disciplina: FILOSOFIA, competenza: sviluppare la riflessione filosofica sull'arte contemporanea
disciplina: STORIA DELL'ARTE, competenza: Sviluppare una riflessione critica sugli artisti contemporanei
","Analisi della figura dell'artista contemporaneo (Kiefer, Holler, Kapoor, Rhode, ecc…) in rapporto
con la società (collezionisti, fondazioni, gallerie) e con la riflessione filosofica. Possibili
uscite didattcihe: Hangar Bicocca, Fondazione Prada, Galleria Lia Rumma.
Visione filmati, letture ed attività laboratoriali con eventuale partecipazione di esperti esterni."
022,Il ruolo dell'artista contemporaneo tra arte e filosofia,Massimiliano Villani,UDA - Moduli Curricolari Pomeridiani,"FILOSOFIA
STORIA DELL'ARTE",PENTAMESTRE,"LUNEDÌ
MARTEDÌ
GIOVEDÌ",,Triennio,Tutti,20,conoscenza di base del lessico filosofico e artistico,"disciplina: FILOSOFIA, competenza: sviluppare la riflessione filosofica sull'arte contemporanea
disciplina: STORIA DELL'ARTE, competenza: Sviluppare una riflessione critica sugli artisti contemporanei
","Analisi della figura dell'artista contemporaneo (Kiefer, Holler, Kapoor, Rhode, ecc…) in rapporto
con la società (collezionisti, fondazioni, gallerie) e con la riflessione filosofica. Possibili
uscite didattcihe: Hangar Bicocca, Fondazione Prada, Galleria Lia Rumma.
Visione filmati, letture ed attività laboratoriali con eventuale partecipazione di esperti esterni."
023,Lo spazio che racconta: Laboratorio di Scenografia,Iacovetta Maria Carmen,UDA - Moduli Curricolari Pomeridiani,GEOMETRICHE,TRIMESTRE,GIOVEDÌ,,Biennio,Nessuno,20,"
","disciplina: GEOMETRICHE, competenza: Il modulo sviluppa competenze artistiche, progettuali e spaziali, stimolando la creatività e la capacità di rappresentare visivamente idee e narrazioni attraverso bozzetti, modellini e scelte espressive consapevoli.
","Il laboratorio introduce ai principi base della scenografia teatrale, guidando gli studenti nella progettazione creativa di uno spazio scenico. Lavoreranno su schizzi, bozzetti e modellini per rappresentare ambientazioni legate a racconti o poesie. Nel pentamestre realizzeranno anche un bozzetto o modellino di costume di scena, sperimentando materiali e sviluppando senso dello spazio, colore, progettazione e comunicazione visiva."
024,Lo spazio che racconta: Laboratorio di Scenografia,Iacovetta Maria Carmen,UDA - Moduli Curricolari Pomeridiani,GEOMETRICHE,PENTAMESTRE,GIOVEDÌ,,Biennio,Nessuno,20,"
","disciplina: GEOMETRICHE, competenza: Il modulo sviluppa competenze artistiche, progettuali e spaziali, stimolando la creatività e la capacità di rappresentare visivamente idee e narrazioni attraverso bozzetti, modellini e scelte espressive consapevoli.
","Il laboratorio introduce ai principi base della scenografia teatrale, guidando gli studenti nella progettazione creativa di uno spazio scenico. Lavoreranno su schizzi, bozzetti e modellini per rappresentare ambientazioni legate a racconti o poesie. Nel pentamestre realizzeranno anche un bozzetto o modellino di costume di scena, sperimentando materiali e sviluppando senso dello spazio, colore, progettazione e comunicazione visiva."
025,"IL DISEGNO per l' ANALISI e la RAPPRESENTAZIONE di TEXTURE NATURALI, ARTIFICIALI, MATERICHE e GRAFICHE.",Anna Sanfilippo,UDA - Moduli Curricolari Pomeridiani,GEOMETRICHE,TRIMESTRE,LUNEDÌ,,Prime,Nessuno,20,,"disciplina: GEOMETRICHE, competenza: saper utilizzare in modo corretto gli strumenti del disegno geometrico e a mano libera, saper osservare, analizzare e comprendere le forme collocate nello spazio, saper utilzzare mezzi fotografici e multimediali  ,saper utilizzare la geometria  e il disegno come strumenti che consentono di conoscere la realtà, saper agire in autonomia  con tempi di lavoro adeguati nella risoluzione del compito assegnato.
","Il disegno quale strumento per lo studio e la rappresentazione della forma attraverso le sue  caratteristiche formali, dimensionali e proporzionali.
Osservazione di texture naturali  ed artificiali  in elementi  architettonici (paramenti murari, pavimentazione, cancellate, ringhiere) negli ambienti scolastici e nella realtà  urbana circostante. Produzione di immagini fotografiche e riproduzione grafica su tavola utilizzando  il disegno a mano libera o con le squadre e tecniche varie per colorar"
026,Imparare ad imparare,Rosy Ghezzi,UDA - Moduli Curricolari Pomeridiani,"GEOMETRICHE
EDUCAZIONE CIVICA",TRIMESTRE,GIOVEDÌ,,Biennio,Nessuno,16,,"disciplina: GEOMETRICHE, competenza: imparare e applicare nuove metodologie di studio
disciplina: Educazione Civica, competenza: Attività metacognitiva e applicazione nuove metodologie di studio
","Breve corso su metodi di studio:
motivazione - stili cognitivi - organizzazione - simulazioni pratiche declinate alle materie di studio e di indirizzo - strumenti - gestione dell'ansia.

Il percorso è rivolto a studenti con o senza disturbi specifici di apprendimento, che sentono la necessità di migliorare e ottimizzare il loro stile di studio."
027,Motion Graphic con After Effects,Claudio Lapesa,UDA - Moduli Curricolari Pomeridiani,GRAFICA,TRIMESTRE,LUNEDÌ,,"Quarte
Quinte",Grafica,23,Conoscenza di base dei software Adobe Photoshop e Illustrator.,"disciplina: GRAFICA, competenza: Saper utilizzare tecniche e procedimenti corretti nella realizzazione di elaborati destinati alla comunicazione visiva
","Il corso prevede la realizzazione di brevi video di grafica animata con l'uso del software After Effects (compreso nella Adobe Creative Cloud).
Il programma verrà affrontato nel modo seguente: basi della grafica animata con l’uso dei fotogrammi chiave; gestione dei parametri di trasformazione e del tracciato di movimento; principio di nidificazione delle composizioni; inserimento del testo con effetti visivi.
Per l'uso del software è necessaria una conoscenza base di Photoshop e Illustrator."
028,Motion Graphic con After Effects,Claudio Lapesa,UDA - Moduli Curricolari Pomeridiani,GRAFICA,PENTAMESTRE,LUNEDÌ,,"Quarte
Quinte",Grafica,23,Conoscenza di base dei software Adobe Photoshop e Illustrator.,"disciplina: GRAFICA, competenza: Saper utilizzare tecniche e procedimenti corretti nella realizzazione di elaborati destinati alla comunicazione visiva
","Il corso prevede la realizzazione di brevi video di grafica animata con l'uso del software After Effects (compreso nella Adobe Creative Cloud).
Il programma verrà affrontato nel modo seguente: basi della grafica animata con l’uso dei fotogrammi chiave; gestione dei parametri di trasformazione e del tracciato di movimento; principio di nidificazione delle composizioni; inserimento del testo con effetti visivi.
Per l'uso del software è necessaria una conoscenza base di Photoshop e Illustrator."
029,IL GUSTO DELLE IMMAGINI,Barbara Brugola,UDA - Moduli Curricolari Pomeridiani,"GRAFICA
EDUCAZIONE CIVICA",TRIMESTRE,"MERCOLEDÌ
GIOVEDÌ",,Seconde,Nessuno,15,"- Saper usare un computer in modo autonomo (accendere/spegnere, usare mouse e tastiera).
Saper aprire cartelle, salvare file, gestire finestre
Sapere come si naviga in internet e si effettua una ricerca su Google
Minima autonomia nel seguire indicazioni tecniche","disciplina: GRAFICA, competenza: Uso di Photoshop per modificare immagini e creare composizioni.
disciplina: Educazione Civica, competenza: Ricerca online di immagini adatte al progetto nel rispetto delle licenze (Creative Commons).
","In questo corso muoverete i primi passi nella grafica digitale, imparando a usare Photoshop, tra i software più diffusi tra i grafici. Scoprirete come modificare immagini, creare composizioni e applicare quanto appreso realizzando una tovaglietta americana, di cui produrremo anche un prototipo. Imparerete inoltre a ricercare le immagini online, rispettando i diritti d’autore. Un laboratorio pratico e stimolante: non serve esperienza pregressa nella grafica, ma solo curiosità e voglia di provare!"
